ㄅㄚ,ba,八
(ㄉㄦˋ),,
(ㄉㄦ˙),dẹr,的
ㄉㄧ,di,低
ㄉㄧˊ,dí,迪
ㄉㄧˇ,dǐ,底
ㄉㄧˋ,dì,地
ㄉㄧ˙,dị,弟
ㄉㄧㄝ,dieh,爹
ㄉㄧㄝˊ,diéh,蝶
ㄉㄧㄝˇ,,　
ㄉㄧㄝˋ,dièh,耊
ㄉㄧㄝ˙,diẹh,爹
ㄉㄧㄠ,diao,刁
ㄉㄧㄠˊ,,　
ㄉㄧㄠˇ,diaǒ,屌
ㄉㄧㄠˋ,diaò,吊
ㄉㄧㄠ˙,,　
ㄉㄧㄡ,diou,丟
ㄉㄧㄡˊ,,　
ㄉㄧㄡˇ,,　
ㄉㄧㄡˋ,,　
ㄉㄧㄡ˙,,　
ㄉㄧㄢ,dian,巔
ㄉㄧㄢˊ,,　
ㄉㄧㄢˇ,diǎn,點
ㄉㄧㄢˋ,diàn,電
ㄉㄧㄢ˙,,　
ㄉㄧㄥ,ding,丁
ㄉㄧㄥˊ,,　
ㄉㄧㄥˇ,dǐng,頂
ㄉㄧㄥˋ,dìng,訂
ㄉㄧㄥ˙,,
(ㄉㄧㄨ),diu,丟
(ㄉㄧㄨˊ),,　
(ㄉㄧㄨˇ),,　
(ㄉㄧㄨˋ),,　
(ㄉㄧㄨ˙),,　
ㄉㄨ,du,督
ㄉㄨˊ,dú,讀
ㄉㄨˇ,dǔ,篤
ㄉㄨˋ,dù,度
ㄉㄨ˙,,　
ㄉㄨㄛ,duo,多
ㄉㄨㄛˊ,duó,奪
ㄉㄨㄛˇ,duǒ,躲
ㄉㄨㄛˋ,duò,舵
ㄉㄨㄛ˙,duọ,朵
ㄉㄨㄟ,duei,堆
ㄉㄨㄟˊ,,　
ㄉㄨㄟˇ,,　
ㄉㄨㄟˋ,dueì,對
ㄉㄨㄟ˙,,　
ㄉㄨㄢ,duan,端
ㄉㄨㄢˊ,,　
ㄉㄨㄢˇ,duǎn,短
ㄉㄨㄢˋ,duàn,段
ㄉㄨㄢ˙,,　
ㄉㄨㄣ,dun,敦
ㄉㄨㄣˊ,,　
ㄉㄨㄣˇ,dǔn,盹
ㄉㄨㄣˋ,dùn,頓
ㄉㄨㄣ˙,,　
ㄉㄨㄥ,dong,東
ㄉㄨㄥˊ,,　
ㄉㄨㄥˇ,dǒng,懂
ㄉㄨㄥˋ,dòng,動
ㄉㄨㄥ˙,,
(ㄉㄨㄧ),dui,堆
(ㄉㄨㄧˊ),,　
(ㄉㄨㄧˇ),,　
(ㄉㄨㄧˋ),duì,對
(ㄉㄨㄧ˙),,
ㄊㄚ,ta,他
ㄊㄚˊ,,　
ㄊㄚˇ,tǎ,塔
ㄊㄚˋ,tà,踏
ㄊㄚ˙,,　
ㄊㄜ,te,忒
ㄊㄜˊ,,　
ㄊㄜˇ,,　
ㄊㄜˋ,tè,特
ㄊㄜ˙,,　
ㄊㄞ,tai,胎
ㄊㄞˊ,taí,台
ㄊㄞˇ,,　
ㄊㄞˋ,teì,泰
ㄊㄞ˙,teị,太
ㄊㄠ,tao,滔
ㄊㄠˊ,taó,桃
ㄊㄠˇ,taǒ,討
ㄊㄠˋ,taò,套
ㄊㄠ˙,,　
ㄊㄡ,tou,偷
ㄊㄡˊ,toú,投
ㄊㄡˇ,toǔ,鈄
ㄊㄡˋ,toù,透
ㄊㄡ˙,toụ,頭
ㄊㄢ,tan,攤
ㄊㄢˊ,tán,談
ㄊㄢˇ,tǎn,坦
ㄊㄢˋ,tàn,探
ㄊㄢ˙,,　
ㄊㄤ,tang,湯
ㄊㄤˊ,táng,唐
ㄊㄤˇ,tǎng,躺
ㄊㄤˋ,tàng,燙
ㄊㄤ˙,,　
ㄊㄥ,teng,膯
ㄊㄥˊ,téng,疼
ㄊㄥˇ,,
ㄊㄥˋ,,
ㄊㄥ˙,,
(ㄊㄦ),ter,忒
(ㄊㄦˊ),,　
(ㄊㄦˇ),,　
(ㄊㄦˋ),tèr,特
(ㄊㄦ˙),,　
ㄊㄧ,ti,梯
ㄊㄧˊ,tí,提
ㄊㄧˇ,tǐ,體
ㄊㄧˋ,tì,替
ㄊㄧ˙,,　
ㄊㄧㄝ,tieh,貼
ㄊㄧㄝˊ,,　
ㄊㄧㄝˇ,tiěh,鐵
ㄊㄧㄝˋ,tièh,帖
ㄊㄧㄝ˙,,　
ㄊㄧㄠ,tiao,挑
ㄊㄧㄠˊ,tiaó,條
ㄊㄧㄠˇ,tiaǒ,窕
ㄊㄧㄠˋ,tiaò,跳
ㄊㄧㄠ˙,,　
ㄊㄧㄢ,tian,天
ㄊㄧㄢˊ,tián,田
ㄊㄧㄢˇ,tiǎn,舔
ㄊㄧㄢˋ,tiàn,瑱
ㄊㄧㄢ˙,,　
ㄊㄧㄥ,ting,聽
ㄊㄧㄥˊ,tíng,停
ㄊㄧㄥˇ,tǐng,挺
ㄊㄧㄥˋ,tìng,忊
ㄊㄧㄥ˙,,
ㄊㄨ,tu,禿
ㄊㄨˊ,tú,圖
ㄊㄨˇ,tǔ,土
ㄊㄨˋ,tù,吐
ㄊㄨ˙,,　
ㄊㄨㄛ,tuo,拖
ㄊㄨㄛˊ,tuó,陀
ㄊㄨㄛˇ,tuǒ,妥
ㄊㄨㄛˋ,tuò,拓
ㄊㄨㄛ˙,,　
ㄊㄨㄟ,tuei,推
